record_id,country_code,country_name,region,income_level,date,year,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,aqi_pm,uhs_service_coverage_index
14,USA,United States,North America,High,4/5/2015,2015,4,14,37.09,-95.71,331,13.64,-0.13,201.5,0,0,0,0,0,7,47.8,32.9,6.4,18.1,17.6,85.1,63945,62.4,97.5,0,80
15,USA,United States,North America,High,4/12/2015,2015,4,15,37.09,-95.71,331,11.04,-0.62,124.5,0,0,0,0,44.7,71,55.3,32.2,5.2,22.9,21.9,85.2,63945,65.2,100,123.6532663,80
16,USA,United States,North America,High,4/19/2015,2015,4,16,37.09,-95.71,331,9.17,0.16,125.9,1,0,0,1,70.8,106,86.5,37.2,5.7,19.4,15.1,79.9,63945,62,100,161.7253219,80
17,USA,United States,North America,High,4/26/2015,2015,4,17,37.09,-95.71,331,9.96,-0.26,62.8,0,0,0,0,56.4,77,77.8,29,1.8,14.9,17.8,82.6,63945,66.3,100,151.6309013,80
18,USA,United States,North America,High,5/3/2015,2015,5,18,37.09,-95.71,331,8.29,1.08,133.2,2,0,0,2,59.6,80,67.4,30.1,2.7,26.8,25.4,77.7,64051,67.4,100,153.8741059,80
19,USA,United States,North America,High,5/10/2015,2015,5,19,37.09,-95.71,331,10.93,0.64,122.7,1,0,0,1,76.7,104,62.2,33.5,10.6,18.4,19.7,76.5,64051,63,99.2,165.8612303,80
20,USA,United States,North America,High,5/17/2015,2015,5,20,37.09,-95.71,331,5.8,0.78,147.9,0,0,0,0,27.2,34,58.7,45.6,6.2,23.1,5.1,82.9,64051,70.3,100,84.72243346,80
21,USA,United States,North America,High,5/24/2015,2015,5,21,37.09,-95.71,331,3.88,0.65,86.2,0,0,0,0,95.6,154,79.4,35.4,4.7,16.1,3.3,80.6,64051,74.4,97.4,179.1101574,80
22,USA,United States,North America,High,5/31/2015,2015,5,22,37.09,-95.71,331,6.17,0.48,144.2,0,0,0,0,40.2,69,55.8,36.8,6.7,15,0,86,64051,63.9,96.4,112.5728643,80
23,USA,United States,North America,High,6/7/2015,2015,6,23,37.09,-95.71,331,9.14,-0.21,84.1,1,0,0,1,49.7,67,76.4,29.3,7.6,17.1,17.7,77.1,64157,79.1,100,135.9648241,80
24,USA,United States,North America,High,6/14/2015,2015,6,24,37.09,-95.71,331,4.24,0.61,56,0,0,0,0,68.1,112,63.4,33,0,27.4,1.4,86.6,64157,74,100,159.832618,80
25,USA,United States,North America,High,6/21/2015,2015,6,25,37.09,-95.71,331,3.33,0.11,104,0,0,0,0,61,109,63.5,27.2,9.1,8.3,9,80.4,64157,68.5,99.7,154.8555079,80
26,USA,United States,North America,High,6/28/2015,2015,6,26,37.09,-95.71,331,3.14,0.65,105.5,0,0,0,0,51.2,78,50.9,29,4,20.8,1.1,82.7,64157,74.9,100,139.6582915,80
27,USA,United States,North America,High,7/5/2015,2015,7,27,37.09,-95.71,331,6.83,0.21,64.6,0,0,0,0,93.6,158,96.2,30.5,7.9,11.2,12.1,85.6,64263,69.2,93,177.7081545,80
28,USA,United States,North America,High,7/12/2015,2015,7,28,37.09,-95.71,331,-2.3,-0.94,83.7,0,0,0,0,57.5,101,74.7,32.7,7.1,17.8,0,79.2,64263,68.6,100,152.4020029,80
29,USA,United States,North America,High,7/19/2015,2015,7,29,37.09,-95.71,331,1.07,-0.03,76.4,0,0,0,0,51.7,41,56.5,29.3,4.8,19.8,0,81.6,64263,77.6,100,140.8894472,80
30,USA,United States,North America,High,7/26/2015,2015,7,30,37.09,-95.71,331,-3.72,-0.67,79.7,0,0,0,0,70.6,129,62.9,25.1,5.7,28.7,0,86,64263,77.8,100,161.5851216,80
31,USA,United States,North America,High,8/2/2015,2015,8,31,37.09,-95.71,331,0.68,0.1,28.7,0,1,0,1,47.5,81,77.9,25.7,7.1,23.8,0,81.7,64368,61.1,74.6,130.5477387,80
32,USA,United States,North America,High,8/9/2015,2015,8,32,37.09,-95.71,331,-0.73,0.76,57.6,0,0,0,0,89.2,113,59.7,33.5,6.2,18.3,0,84.5,64368,69.6,93.2,174.6237482,80
33,USA,United States,North America,High,8/16/2015,2015,8,33,37.09,-95.71,331,-2.15,-0.46,36.4,0,0,0,0,26.2,38,67.4,22.8,6.5,15.9,0,80.8,64368,69.5,94.6,82.85931559,80
34,USA,United States,North America,High,8/23/2015,2015,8,34,37.09,-95.71,331,-5.92,1,49.6,0,0,0,0,32.6,52,58.7,33.9,6.8,22.3,0,75.6,64368,67.1,98.4,94.78326996,80
35,USA,United States,North America,High,8/30/2015,2015,8,35,37.09,-95.71,331,-7.11,0.7,95.2,0,0,0,0,34.7,61,63.5,48.9,8.4,17.9,0,80.2,64368,62,100,98.69581749,80
36,USA,United States,North America,High,9/6/2015,2015,9,36,37.09,-95.71,331,-7.37,-0.31,11.1,0,0,0,0,63.2,109,79.5,31.7,2.4,18.5,0,87.2,64474,75.1,97.5,156.397711,80
37,USA,United States,North America,High,9/13/2015,2015,9,37,37.09,-95.71,331,-5.64,-0.32,83.7,0,0,0,0,10.5,-13,62.6,28.5,5.4,16.7,0,81.3,64474,67.7,96.6,53.60836502,80
38,USA,United States,North America,High,9/20/2015,2015,9,38,37.09,-95.71,331,-5.93,-0.4,24.3,0,0,0,0,56.3,72,69.6,27.8,4.3,14,0,79.6,64474,73.8,100,151.5608011,80
39,USA,United States,North America,High,9/27/2015,2015,9,39,37.09,-95.71,331,-5.02,0.39,0,0,0,0,0,73.6,102,62.1,33.4,0,16.2,0,79.1,64474,62.4,100,163.6881259,80
40,USA,United States,North America,High,10/4/2015,2015,10,40,37.09,-95.71,331,-4.69,1.41,0,0,1,0,1,38.5,52,71.6,34.2,7.5,12.9,0,80.1,64580,74.2,72.4,108.3869347,80
41,USA,United States,North America,High,10/11/2015,2015,10,41,37.09,-95.71,331,-3.96,-0.08,51.8,0,0,0,0,34.5,53,58.8,35.4,5.8,20.2,0,83.7,64580,67.6,97.6,98.32319392,80
42,USA,United States,North America,High,10/18/2015,2015,10,42,37.09,-95.71,331,-5.73,0.16,104,0,0,0,0,61,87,80.3,28.8,0,13.5,0,87.5,64580,68.2,99.8,154.8555079,80
43,USA,United States,North America,High,10/25/2015,2015,10,43,37.09,-95.71,331,-3.9,-0.09,68.3,0,0,0,0,0,4,57.7,22.1,8.4,20.2,0,83,64580,73.2,100,0,80
44,USA,United States,North America,High,11/1/2015,2015,11,44,37.09,-95.71,331,-3.61,-0.21,20.2,0,0,0,0,93.7,147,74.6,33.1,8.9,16.3,0,85.4,64686,67.2,100,177.7782546,80
45,USA,United States,North America,High,11/8/2015,2015,11,45,37.09,-95.71,331,-0.79,0.52,0,0,0,0,0,67,74,85.1,35.9,4.8,19.9,0,82.8,64686,82.2,100,159.0615165,80
46,USA,United States,North America,High,11/15/2015,2015,11,46,37.09,-95.71,331,-1.48,0.26,58.3,0,0,0,0,28.6,50,77.4,38,9.8,15.9,0,85.8,64686,69.4,100,87.33079848,80
47,USA,United States,North America,High,11/22/2015,2015,11,47,37.09,-95.71,331,-5.6,0.78,50.4,0,0,0,0,39.3,44,45.2,38,5.2,12.1,0,81.7,64686,68.3,100,110.3567839,80
48,USA,United States,North America,High,11/29/2015,2015,11,48,37.09,-95.71,331,-4.43,-0.1,50.9,0,0,0,0,0,-1,47.7,33,10.5,24.1,0,82.7,64686,64.5,100,0,80
49,USA,United States,North America,High,12/6/2015,2015,12,49,37.09,-95.71,331,-0.54,0.01,69.3,0,0,0,0,42.5,55,57.3,29.9,3.4,14.9,0,74.5,64792,68.7,100,118.2361809,80
50,USA,United States,North America,High,12/13/2015,2015,12,50,37.09,-95.71,331,2.51,0.64,5.6,0,0,0,0,66.1,95,68.3,35.9,7.5,11.9,0,80.2,64792,69.7,100,158.4306152,80
51,USA,United States,North America,High,12/20/2015,2015,12,51,37.09,-95.71,331,1.08,0.03,51.3,0,0,0,0,31.5,49,58.2,32.7,1.8,16.7,0,83.2,64792,74.1,95,92.7338403,80
52,USA,United States,North America,High,12/27/2015,2015,12,52,37.09,-95.71,331,2.72,0.84,47,0,0,0,0,34.2,37,43.6,43,1.3,14.4,6.5,78.3,64792,61.2,100,97.76425856,80
53,USA,United States,North America,High,1/3/2016,2016,1,53,37.09,-95.71,331,5.67,-1.06,29.5,0,0,0,0,40.5,53,66.1,24.5,8.3,19.1,6.6,83.4,64898,68.2,99.5,113.3115578,
54,USA,United States,North America,High,1/10/2016,2016,1,1,37.09,-95.71,331,0.72,-0.65,109.1,0,0,0,0,42.4,61,62.9,28.5,3.4,14.6,0,77.4,64898,65.1,100,117.9899497,
55,USA,United States,North America,High,1/17/2016,2016,1,2,37.09,-95.71,331,7.13,0.26,99.2,0,0,0,0,64.7,122,79.6,22.1,1.2,15.4,8.9,83.1,64898,72.6,96.1,157.4492132,
56,USA,United States,North America,High,1/24/2016,2016,1,3,37.09,-95.71,331,4.47,-0.28,53.9,0,0,0,0,26.1,19,48.1,33.8,2.2,31.7,5.9,84.6,64898,70.9,95.5,82.6730038,
57,USA,United States,North America,High,1/31/2016,2016,1,4,37.09,-95.71,331,5.69,0.08,177.1,0,0,0,0,22.2,28,59.1,31.3,4,28.4,5.6,84,64898,62.2,97.7,75.40684411,
58,USA,United States,North America,High,2/7/2016,2016,2,5,37.09,-95.71,331,8.7,-0.52,132.2,0,0,0,0,15.4,19,53.9,30.5,5.5,11.8,13.8,85.7,65004,73.1,100,62.73764259,
59,USA,United States,North America,High,2/14/2016,2016,2,6,37.09,-95.71,331,10.03,0.25,105.9,0,0,0,0,0,12,51.3,33.5,4.4,24.1,14.2,78.3,65004,67.7,100,0,
60,USA,United States,North America,High,2/21/2016,2016,2,7,37.09,-95.71,331,10.01,-0.5,149.5,1,0,0,1,40.4,32,57.6,34.2,7.6,19.9,15.8,82.6,65004,72.4,100,113.0653266,
61,USA,United States,North America,High,2/28/2016,2016,2,8,37.09,-95.71,331,12.01,-0.32,98.7,1,0,0,1,0,-25,34.4,25.5,7.4,17,22.5,76.7,65004,64.5,94.5,0,
62,USA,United States,North America,High,3/6/2016,2016,3,9,37.09,-95.71,331,7.61,-0.51,136.8,0,0,0,0,28.5,30,81.6,24.1,8.5,26.6,1.9,80.7,65109,70.4,97.2,87.14448669,
63,USA,United States,North America,High,3/13/2016,2016,3,10,37.09,-95.71,331,11.49,-0.29,103.2,4,0,0,4,35.2,74,62.8,30.4,6.4,15.7,52.7,87.1,65109,69,92.2,99.62737643,
64,USA,United States,North America,High,3/20/2016,2016,3,11,37.09,-95.71,331,14.21,-0.28,107.6,3,0,0,3,54.9,113,70.7,29.1,0.9,14.8,46.8,83.2,65109,77.5,97.2,148.7688442,
65,USA,United States,North America,High,3/27/2016,2016,3,12,37.09,-95.71,331,10.72,0.62,195.7,1,0,0,1,7.6,-13,58.9,35.8,5.9,23.2,26,84,65109,71.5,100,42.22222222,
66,USA,United States,North America,High,4/3/2016,2016,4,13,37.09,-95.71,331,12.48,0.53,165.9,1,0,0,1,22.6,36,70.9,30.1,6.1,16.5,27.6,82.6,65215,75.9,100,76.15209125,
67,USA,United States,North America,High,4/10/2016,2016,4,14,37.09,-95.71,331,7.94,0.4,138.8,1,0,0,1,86.3,133,93.7,33,5.8,21.5,19.3,85.7,65215,67.3,100,172.5908441,
68,USA,United States,North America,High,4/17/2016,2016,4,15,37.09,-95.71,331,8.39,0.09,97.3,0,0,0,0,28.5,45,62.2,27.8,4.6,8.3,14.9,81.3,65215,75.4,91.2,87.14448669,
69,USA,United States,North America,High,4/24/2016,2016,4,16,37.09,-95.71,331,7.65,-0.06,136.2,0,0,0,0,57.5,103,80.3,28.6,1.6,17.9,13,85.2,65215,63.9,100,152.4020029,
70,USA,United States,North America,High,5/1/2016,2016,5,17,37.09,-95.71,331,9.27,-0.33,94.5,0,0,0,0,9.8,36,52.1,34,6,20.8,15.9,86.5,65321,72.2,100,52.30418251,
71,USA,United States,North America,High,5/8/2016,2016,5,18,37.09,-95.71,331,9.54,0.38,109.2,0,0,0,0,74.2,117,64.7,25.1,4.1,14.8,13.5,80.6,65321,62,100,164.1087268,
72,USA,United States,North America,High,5/15/2016,2016,5,19,37.09,-95.71,331,10.51,-0.11,107.9,0,0,0,0,27.1,4,42.3,33.3,7.4,20.6,10.7,79,65321,69.8,99.7,84.53612167,
73,USA,United States,North America,High,5/22/2016,2016,5,20,37.09,-95.71,331,10.81,0.47,98.5,0,0,0,0,41,48,62.7,31,4.7,17.6,12.5,85.5,65321,71,94.4,114.5427136,
74,USA,United States,North America,High,5/29/2016,2016,5,21,37.09,-95.71,331,8.27,-0.22,87.9,0,0,0,0,77.4,130,73.8,25.7,7.1,20.5,15.5,80.9,65321,73.2,100,166.3519313,
75,USA,United States,North America,High,6/5/2016,2016,6,22,37.09,-95.71,331,8.81,0.13,159.3,0,0,0,0,10.9,7,48.4,29,6.3,21.1,9.3,87.7,65427,69.9,100,54.35361217,
76,USA,United States,North America,High,6/12/2016,2016,6,23,37.09,-95.71,331,6.15,0.05,96.1,0,0,0,0,56.1,69,64.3,21.9,6.2,21.7,4.4,78.1,65427,77.9,93.6,151.4206009,
77,USA,United States,North America,High,6/19/2016,2016,6,24,37.09,-95.71,331,4.8,0.55,138.4,0,0,0,0,20.9,47,55.9,31.9,7.7,21.8,0,80.6,65427,77.4,100,72.98479087,
78,USA,United States,North America,High,6/26/2016,2016,6,25,37.09,-95.71,331,4.19,0.28,90.9,0,0,0,0,28.1,32,58.2,37.2,6.6,16.6,6.7,77.3,65427,55.8,100,86.39923954,
79,USA,United States,North America,High,7/3/2016,2016,7,26,37.09,-95.71,331,1.71,-0.53,39.4,0,0,0,0,81.1,115,77.8,27.1,6.4,18.9,0,77.8,65533,75,97.3,168.9456366,
80,USA,United States,North America,High,7/10/2016,2016,7,27,37.09,-95.71,331,0.62,0.78,99,0,0,0,0,31.5,42,56.2,44.3,6.1,20.7,0.9,81.9,65533,71.2,98.5,92.7338403,
81,USA,United States,North America,High,7/17/2016,2016,7,28,37.09,-95.71,331,0.39,0.01,90.6,0,0,0,0,43.2,76,62.1,30.5,0,23.1,0,88.8,65533,75,85.3,119.959799,
82,USA,United States,North America,High,7/24/2016,2016,7,29,37.09,-95.71,331,-0.65,0.59,33.1,0,0,0,0,68.7,87,64.4,42.5,4.4,19.6,0,83.6,65533,72.5,100,160.2532189,
83,USA,United States,North America,High,7/31/2016,2016,7,30,37.09,-95.71,331,3.57,0,66,0,0,0,0,73.1,126,83.8,33.2,1.6,26.7,0,82.3,65533,71.5,96,163.3376252,
84,USA,United States,North America,High,8/7/2016,2016,8,31,37.09,-95.71,331,-1.38,0.19,68.6,0,0,0,0,86.6,137,73.5,35.8,8.6,12.4,0,86.6,65639,73.5,98.3,172.8011445,
85,USA,United States,North America,High,8/14/2016,2016,8,32,37.09,-95.71,331,-3.07,0.1,47.1,0,0,0,0,51,60,50.9,38.5,2.5,13.5,0,87.4,65639,66.8,93.1,139.1658291,
86,USA,United States,North America,High,8/21/2016,2016,8,33,37.09,-95.71,331,-1.4,-0.31,116.6,0,0,0,0,61.2,87,43.4,39.9,0.8,10.3,0,84.2,65639,82.2,100,154.9957082,
87,USA,United States,North America,High,8/28/2016,2016,8,34,37.09,-95.71,331,-2.79,0.46,69,0,0,0,0,53.2,81,65.3,28.5,4.2,10,0,83,65639,65.1,94.2,144.5829146,
88,USA,United States,North America,High,9/4/2016,2016,9,35,37.09,-95.71,331,-1.66,0.49,0,0,0,0,0,44.9,44,62.1,31.7,2.1,21.3,0.4,79.7,65745,71.1,100,124.1457286,
89,USA,United States,North America,High,9/11/2016,2016,9,36,37.09,-95.71,331,-2.01,0,24.7,0,0,0,0,56.7,87,72.4,30.2,5.1,15,0,78.8,65745,63,100,151.8412017,
90,USA,United States,North America,High,9/18/2016,2016,9,37,37.09,-95.71,331,-6.44,-0.32,67.7,0,0,0,0,39.1,77,55,29.8,2.5,29.2,0,83.7,65745,71.5,100,109.8643216,
91,USA,United States,North America,High,9/25/2016,2016,9,38,37.09,-95.71,331,-5.56,-0.03,41.4,0,0,0,0,48,87,86.5,27.1,0.9,18.1,0,87.5,65745,66,100,131.7788945,
92,USA,United States,North America,High,10/2/2016,2016,10,39,37.09,-95.71,331,-6.32,0.32,88.9,0,0,0,0,32.7,46,54,26.5,3.1,12.4,0,77.8,65851,66.2,100,94.96958175,
93,USA,United States,North America,High,10/9/2016,2016,10,40,37.09,-95.71,331,-4.45,0.45,0,0,0,0,0,69.4,114,90.3,31,10.2,19,0,79.7,65851,65,100,160.7439199,
94,USA,United States,North America,High,10/16/2016,2016,10,41,37.09,-95.71,331,-4.74,0.83,32.4,0,0,0,0,86.4,111,70.6,27.1,5.2,22.4,0,83.2,65851,76.1,96,172.6609442,
95,USA,United States,North America,High,10/23/2016,2016,10,42,37.09,-95.71,331,-5.64,0.22,58.3,0,0,0,0,62.9,78,60,27.6,4.3,18.9,0,89,65851,65.8,91.7,156.1874106,
96,USA,United States,North America,High,10/30/2016,2016,10,43,37.09,-95.71,331,-6.42,0.45,46.2,0,0,0,0,57,86,63.3,34.6,3.7,24.3,0,81.8,65851,73,97.2,152.0515021,
97,USA,United States,North America,High,11/6/2016,2016,11,44,37.09,-95.71,331,-6,-0.14,16.8,0,0,0,0,89.5,150,81.6,29.2,7.5,25.5,0,79.3,65956,70.1,93.2,174.8340486,
98,USA,United States,North America,High,11/13/2016,2016,11,45,37.09,-95.71,331,-3.62,-0.27,45.4,0,0,0,0,52.3,86,65,31.1,5.2,8.6,0,84.3,65956,69.3,93.7,142.3668342,
99,USA,United States,North America,High,11/20/2016,2016,11,46,37.09,-95.71,331,0.76,0.65,48.2,0,0,0,0,87.6,134,72.9,30.2,4.1,16.6,0,83.8,65956,70.8,99.8,173.5021459,
100,USA,United States,North America,High,11/27/2016,2016,11,47,37.09,-95.71,331,0.86,0.51,13.9,0,0,0,0,31.1,44,58,37.5,3.5,12.6,2.3,84.8,65956,68.4,100,91.98859316,
101,USA,United States,North America,High,12/4/2016,2016,12,48,37.09,-95.71,331,-0.74,-0.05,50.9,0,0,0,0,49.4,87,56.9,30.3,1.6,13.5,0,78.9,66062,60.2,100,135.2261307,
102,USA,United States,North America,High,12/11/2016,2016,12,49,37.09,-95.71,331,0.14,0.62,41.3,0,0,0,0,0,-7,41.3,21.7,5.9,19.5,0.5,81.3,66062,64.4,91.8,0,
103,USA,United States,North America,High,12/18/2016,2016,12,50,37.09,-95.71,331,0.97,0.5,114.1,0,0,0,0,67.5,105,78.3,29.3,5.5,12.5,0,81.8,66062,70.4,100,159.4120172,
104,USA,United States,North America,High,12/25/2016,2016,12,51,37.09,-95.71,331,2.28,0.16,62.9,0,0,0,0,27.4,61,48.4,24.2,7,24.3,0,80.4,66062,67.8,100,85.09505703,
105,USA,United States,North America,High,1/1/2017,2017,1,52,37.09,-95.71,331,1.36,0.48,98.9,0,0,0,0,73,91,66.9,33.8,2.2,21.7,3.4,86.9,66168,67.1,99.9,163.267525,80
106,USA,United States,North America,High,1/8/2017,2017,1,1,37.09,-95.71,331,7.48,0.41,103.3,0,0,0,0,18,32,61,31,3.2,12.1,0.8,82.9,66168,60.3,100,67.58174905,80
107,USA,United States,North America,High,1/15/2017,2017,1,2,37.09,-95.71,331,3.86,-0.12,96.5,0,0,0,0,36.6,35,70.1,30.9,5.8,22.7,0,85.2,66168,76.1,99,103.7085427,80
108,USA,United States,North America,High,1/22/2017,2017,1,3,37.09,-95.71,331,7.21,-0.48,109.9,0,0,0,0,46.2,70,62.9,27.2,7.4,21.4,9.1,84.7,66168,62.5,100,127.3467337,80
109,USA,United States,North America,High,1/29/2017,2017,1,4,37.09,-95.71,331,11.22,0.58,42.2,0,0,0,0,53.5,92,69.9,39.3,7,17.8,10.8,80.7,66168,69,95.5,145.321608,80
110,USA,United States,North America,High,2/5/2017,2017,2,5,37.09,-95.71,331,8.61,0.88,115.1,1,0,0,1,66.9,91,70.7,36,2.6,21.7,19.1,81.2,66274,71.6,95.3,158.9914163,80
111,USA,United States,North America,High,2/12/2017,2017,2,6,37.09,-95.71,331,9.63,-0.14,158.8,1,0,0,1,18.3,53,50,36.6,3.3,19.4,17.6,82.9,66274,80.6,98.3,68.14068441,80
112,USA,United States,North America,High,2/19/2017,2017,2,7,37.09,-95.71,331,7.48,0.97,166.9,0,0,0,0,52.2,87,73.4,32.1,2.5,18.5,8.6,85.4,66274,67.7,100,142.120603,80
113,USA,United States,North America,High,2/26/2017,2017,2,8,37.09,-95.71,331,9.62,0.78,79,0,0,0,0,39.4,46,60.5,36.3,0.9,19.5,16.6,81.4,66274,79.3,94.4,110.6030151,80
114,USA,United States,North America,High,3/5/2017,2017,3,9,37.09,-95.71,331,10.45,0.62,106.6,0,0,0,0,85.8,152,70.9,27.5,5.4,9.7,17,77.7,66380,69.3,97.4,172.2403433,80
115,USA,United States,North America,High,3/12/2017,2017,3,10,37.09,-95.71,331,11.34,-0.22,82.5,0,0,0,0,0,3,46.2,14.5,4.5,23,21.1,83.7,66380,71.8,94.3,0,80
116,USA,United States,North America,High,3/19/2017,2017,3,11,37.09,-95.71,331,9.44,0.22,122.6,0,0,0,0,33,46,51.1,27,4.3,20.3,17.9,81.7,66380,66,100,95.52851711,80
117,USA,United States,North America,High,3/26/2017,2017,3,12,37.09,-95.71,331,10.7,-0.33,47,0,0,0,0,72.7,113,72.7,31.9,5.3,18,12.9,79.2,66380,74.4,95.2,163.0572246,80
118,USA,United States,North America,High,4/2/2017,2017,4,13,37.09,-95.71,331,11.93,-0.62,192.4,1,0,0,1,3.1,-7,54.9,34.1,2,18.8,28.5,81.4,66486,73,100,17.22222222,80
119,USA,United States,North America,High,4/9/2017,2017,4,14,37.09,-95.71,331,9.07,0.09,87.5,0,0,0,0,0,-7,70.1,39.3,1.9,14.9,13,80.5,66486,77,100,0,80
120,USA,United States,North America,High,4/16/2017,2017,4,15,37.09,-95.71,331,10.42,-0.27,136.8,0,0,0,0,20.6,17,57.4,36.8,6,17.2,13.9,82.3,66486,62.2,100,72.42585551,80
121,USA,United States,North America,High,4/23/2017,2017,4,16,37.09,-95.71,331,9.88,1.64,126.2,1,0,0,1,16,26,42.4,44.3,3,27.9,27.7,82.7,66486,67.3,100,63.85551331,80
122,USA,United States,North America,High,4/30/2017,2017,4,17,37.09,-95.71,331,11.54,0.29,89.8,1,0,0,1,33.7,44,52.5,35.1,11.2,13.2,25.7,83.8,66486,76.6,99.3,96.83269962,80
123,USA,United States,North America,High,5/7/2017,2017,5,18,37.09,-95.71,331,7.2,0.26,107,0,0,0,0,63.2,113,94.9,34.2,6,19.5,7.1,83,66592,71.7,98.3,156.397711,80
124,USA,United States,North America,High,5/14/2017,2017,5,19,37.09,-95.71,331,11.36,-0.45,143.8,0,0,0,0,27.1,60,57.2,16.5,3.5,23.5,20,81.3,66592,65.8,96.9,84.53612167,80
125,USA,United States,North America,High,5/21/2017,2017,5,20,37.09,-95.71,331,6.71,-0.97,129.1,0,0,0,0,65.6,76,82.1,24.7,8.7,18.7,8.6,86.1,66592,71.9,95.8,158.0801144,80
126,USA,United States,North America,High,5/28/2017,2017,5,21,37.09,-95.71,331,5.03,-0.15,118.1,0,0,0,0,23.6,47,70.9,34.3,0,19.1,9.7,84.5,66592,63.4,100,78.01520913,80
127,USA,United States,North America,High,6/4/2017,2017,6,22,37.09,-95.71,331,4.02,0.47,106.4,0,0,0,0,55,68,68,23.8,0,19.2,8,81.9,66698,71.3,99.4,149.0150754,80
128,USA,United States,North America,High,6/11/2017,2017,6,23,37.09,-95.71,331,3.68,-0.06,106.5,0,0,0,0,27.8,53,60.3,31.3,7.7,15.9,5.2,80.6,66698,68.1,100,85.84030418,80
129,USA,United States,North America,High,6/18/2017,2017,6,24,37.09,-95.71,331,2.82,0.1,32.7,0,0,0,0,46.1,45,71.6,35.7,2.4,20.6,4.6,84.7,66698,74.5,100,127.1005025,80
130,USA,United States,North America,High,6/25/2017,2017,6,25,37.09,-95.71,331,2.39,0.09,70.5,0,0,0,0,27.6,42,61.7,36.3,5.8,21.7,2.6,80.4,66698,83.4,90.7,85.46768061,80
131,USA,United States,North America,High,7/2/2017,2017,7,26,37.09,-95.71,331,5.68,-0.12,106.2,0,0,0,0,44.5,98,52.2,35.5,10.2,13.4,9.8,81.7,66803,65.2,99.9,123.160804,80
